originalFileName,newFileName,label,confidence,imageHeight,imageWidth,xPosition,yPosition,croppedHeight,croppedWidth
B-0ISiADp90,B-0ISiADp90_bowl_0.94.jpg,bowl,0.937984705,1080,1080,584,244,300,300
B-0ISiADp90,B-0ISiADp90_bowl_0.92.jpg,bowl,0.917354941,1080,1080,0,529,300,300
B-0J8JolXP5,B-0J8JolXP5_bowl_0.96.jpg,bowl,0.956687808,1079,1080,170,247,300,300
B-0JlBjpnxu,B-0JlBjpnxu_cup_0.81.jpg,cup,0.80746454,1080,1080,393,545,300,300
B-0jS3aDX75,B-0jS3aDX75_cup_0.83.jpg,cup,0.830254674,1080,1080,99,231,300,300
B-0jZMVDhTH,B-0jZMVDhTH_vase_0.85.jpg,vase,0.85022831,1110,1080,149,121,300,300
B-0m37qjNdb,B-0m37qjNdb_vase_0.99.jpg,vase,0.987451732,720,720,124,390,300,300
B-0m37qjNdb,B-0m37qjNdb_vase_0.98.jpg,vase,0.984816372,720,720,445,480,300,300
B-0m37qjNdb,B-0m37qjNdb_vase_0.98.jpg,vase,0.983658791,720,720,294,435,300,300
B-0m37qjNdb,B-0m37qjNdb_vase_0.92.jpg,vase,0.918093562,720,720,593,516,300,300
B-0MVYDlbec,B-0MVYDlbec_cup_0.92.jpg,cup,0.919551015,1075,1080,185,149,300,300
B-0M_xuj13v,B-0M_xuj13v_vase_0.99.jpg,vase,0.994939804,1080,1080,375,518,300,300
B-0nL_tD9LO,B-0nL_tD9LO_cup_0.90.jpg,cup,0.899463534,1080,1080,0,520,300,300
B-0nWDXjjKH,B-0nWDXjjKH_cup_0.98.jpg,cup,0.975063562,1350,1080,547,788,300,300
B-0nWDXjjKH,B-0nWDXjjKH_cup_0.97.jpg,cup,0.968894541,1350,1080,405,436,300,300
B-0nWDXjjKH,B-0nWDXjjKH_cup_0.97.jpg,cup,0.9676314,1350,1080,692,476,300,300
B-0nWDXjjKH,B-0nWDXjjKH_cup_0.96.jpg,cup,0.957683206,1350,1080,181,860,300,300
B-0nWDXjjKH,B-0nWDXjjKH_cup_0.93.jpg,cup,0.932454288,1350,1080,631,418,300,300
B-0nWDXjjKH,B-0nWDXjjKH_cup_0.88.jpg,cup,0.880962729,1350,1080,430,662,300,300
B-0nWDXjjKH,B-0nWDXjjKH_cup_0.86.jpg,cup,0.862883866,1350,1080,291,417,300,300
B-0nWDXjjKH,B-0nWDXjjKH_cup_0.81.jpg,cup,0.813123524,1350,1080,38,330,300,300
B-0QVumjtfy,B-0QVumjtfy_vase_0.93.jpg,vase,0.928948343,749,749,64,106,300,300
B-0sCivDUd9,B-0sCivDUd9_cup_0.95.jpg,cup,0.954783916,1350,1080,282,861,300,300
B-0SktkjpGY,B-0SktkjpGY_vase_1.00.jpg,vase,0.995375276,1080,1080,284,213,300,300
B-0SLT4n_mQ,B-0SLT4n_mQ_cup_0.98.jpg,cup,0.981058657,1080,1080,598,270,300,300
B-0SLT4n_mQ,B-0SLT4n_mQ_cup_0.88.jpg,cup,0.878403246,1080,1080,0,74,300,300
B-0SLT4n_mQ,B-0SLT4n_mQ_cup_0.87.jpg,cup,0.867821157,1080,1080,523,0,300,300
B-0SsCoDCyq,B-0SsCoDCyq_vase_0.97.jpg,vase,0.972545266,1080,1080,157,223,300,300
B-0U0eGgIzM,B-0U0eGgIzM_bowl_0.96.jpg,bowl,0.960101306,1080,1080,101,445,300,300
B-0UD-DAomX,B-0UD-DAomX_vase_0.99.jpg,vase,0.98939693,976,981,0,52,300,300
B-0vOEhjadc,B-0vOEhjadc_bowl_0.83.jpg,bowl,0.828064024,1080,1080,346,642,300,300
B-0YofNH8cT,B-0YofNH8cT_cup_1.00.jpg,cup,0.995421648,1349,1080,398,583,300,300
B-1-YrvA0YR,B-1-YrvA0YR_cup_0.99.jpg,cup,0.991905451,1080,1080,352,499,300,300
B-1-YrvA0YR,B-1-YrvA0YR_cup_0.98.jpg,cup,0.983825922,1080,1080,403,672,300,300
B-1-YrvA0YR,B-1-YrvA0YR_cup_0.98.jpg,cup,0.983133972,1080,1080,455,357,300,300
B-11v_WDLsx,B-11v_WDLsx_vase_0.92.jpg,vase,0.917629838,720,720,0,182,300,300
B-12AuygNS3,B-12AuygNS3_vase_0.99.jpg,vase,0.9924106,720,720,409,396,300,300
B-12AuygNS3,B-12AuygNS3_cup_0.90.jpg,cup,0.903849721,720,720,0,416,300,300
B-12nThDUgS,B-12nThDUgS_cup_0.99.jpg,cup,0.994044363,1080,1080,271,361,300,300
B-13EbqHzHl,B-13EbqHzHl_cup_0.99.jpg,cup,0.987810671,993,993,218,310,300,300
B-13nFljFAz,B-13nFljFAz_cup_0.84.jpg,cup,0.842898369,1080,1080,217,311,300,300
B-15JjGjBWR,B-15JjGjBWR_bowl_0.91.jpg,bowl,0.905661643,1080,1080,0,408,300,300
B-17Gg1jgf5,B-17Gg1jgf5_bowl_0.94.jpg,bowl,0.942034245,663,1080,189,83,300,300
B-17QwqjUky,B-17QwqjUky_vase_0.95.jpg,vase,0.945579588,1080,1080,577,310,300,300
B-17zjHj4kA,B-17zjHj4kA_bowl_0.95.jpg,bowl,0.953732967,1350,1080,256,795,300,300
B-17zjHj4kA,B-17zjHj4kA_bowl_0.88.jpg,bowl,0.876518309,1350,1080,130,505,300,300
B-17zjHj4kA,B-17zjHj4kA_vase_0.82.jpg,vase,0.818611085,1350,1080,258,127,300,300
B-18_K7DP6N,B-18_K7DP6N_vase_0.99.jpg,vase,0.988738,860,1080,662,0,300,300
B-18_K7DP6N,B-18_K7DP6N_vase_0.95.jpg,vase,0.951058209,860,1080,367,84,300,300
B-18_K7DP6N,B-18_K7DP6N_vase_0.94.jpg,vase,0.935451031,860,1080,0,111,300,300
B-19H1IjwM4,B-19H1IjwM4_cup_0.96.jpg,cup,0.955732346,720,720,419,259,300,300
B-19H1IjwM4,B-19H1IjwM4_cup_0.92.jpg,cup,0.915865481,720,720,292,372,300,300
B-19H1IjwM4,B-19H1IjwM4_cup_0.87.jpg,cup,0.866628408,720,720,168,253,300,300
B-1a4qYDJyf,B-1a4qYDJyf_cup_0.98.jpg,cup,0.984565616,1080,1080,102,537,300,300
B-1a4qYDJyf,B-1a4qYDJyf_bowl_0.90.jpg,bowl,0.895498753,1080,1080,443,573,300,300
B-1b1j2H4_g,B-1b1j2H4_g_vase_0.99.jpg,vase,0.989148915,1080,1080,359,387,300,300
B-1cj6Xj9in,B-1cj6Xj9in_cup_0.96.jpg,cup,0.962018013,1350,1080,175,418,300,300
B-1CxboBPPy,B-1CxboBPPy_bowl_0.97.jpg,bowl,0.967055261,1080,1080,173,451,300,300
B-1dOSLJoAQ,B-1dOSLJoAQ_vase_0.94.jpg,vase,0.936807394,857,1080,468,125,300,300
B-1Ebjcl2Y9,B-1Ebjcl2Y9_cup_0.90.jpg,cup,0.895423651,1350,1080,383,674,300,300
B-1eH6YAblJ,B-1eH6YAblJ_cup_1.00.jpg,cup,0.997624934,1080,1080,504,420,300,300
B-1eH6YAblJ,B-1eH6YAblJ_cup_1.00.jpg,cup,0.997619808,1080,1080,253,408,300,300
B-1ElnEhwol,B-1ElnEhwol_cup_0.95.jpg,cup,0.953099012,1080,1080,188,657,300,300
B-1ElnEhwol,B-1ElnEhwol_bowl_0.92.jpg,bowl,0.917901874,1080,1080,282,140,300,300
B-1flCtD54S,B-1flCtD54S_cup_0.95.jpg,cup,0.948375881,1350,1080,103,529,300,300
B-1Gh6nHTpa,B-1Gh6nHTpa_bowl_0.94.jpg,bowl,0.942605853,1080,1080,562,189,300,300
B-1Gh6nHTpa,B-1Gh6nHTpa_bowl_0.91.jpg,bowl,0.910007536,1080,1080,374,497,300,300
B-1iLlIJmDv,B-1iLlIJmDv_vase_0.97.jpg,vase,0.972744703,1080,1080,137,838,300,300
B-1LpwxDvCe,B-1LpwxDvCe_cup_1.00.jpg,cup,0.997639835,1080,1080,376,348,300,300
B-1ODBalXY5,B-1ODBalXY5_vase_0.98.jpg,vase,0.980483651,1080,1080,371,332,300,300
B-1OmQgFyy7,B-1OmQgFyy7_vase_0.99.jpg,vase,0.992256284,1080,1080,431,299,300,300
B-1OUMIDUCp,B-1OUMIDUCp_cup_0.92.jpg,cup,0.922553718,900,900,119,459,300,300
B-1p6ysHQxn,B-1p6ysHQxn_bowl_1.00.jpg,bowl,0.996870577,1080,1080,519,772,300,300
B-1PJZblPMg,B-1PJZblPMg_vase_0.95.jpg,vase,0.953817785,1080,1080,409,335,300,300
B-1Q4yuptTy,B-1Q4yuptTy_bowl_0.89.jpg,bowl,0.890583932,737,1080,171,376,300,300
B-1QNF1Jyyr,B-1QNF1Jyyr_bowl_0.99.jpg,bowl,0.994367003,715,1080,443,347,300,300
B-1QoVJD8uy,B-1QoVJD8uy_cup_0.94.jpg,cup,0.939740598,1080,1080,342,547,300,300
B-1QTLwg8mR,B-1QTLwg8mR_cup_0.90.jpg,cup,0.90390569,1185,1080,524,612,300,300
B-1qUgzDrRa,B-1qUgzDrRa_bowl_0.97.jpg,bowl,0.973733127,692,922,307,291,300,300
B-1qUgzDrRa,B-1qUgzDrRa_bowl_0.95.jpg,bowl,0.953020394,692,922,0,311,300,300
B-1qUgzDrRa,B-1qUgzDrRa_bowl_0.92.jpg,bowl,0.918244123,692,922,517,293,300,300
B-1rBiFDhDl,B-1rBiFDhDl_cup_0.91.jpg,cup,0.90897125,640,640,64,166,300,300
B-1rObYnGQ7,B-1rObYnGQ7_cup_0.85.jpg,cup,0.85094893,739,1080,332,0,300,300
B-1ruHEDgFA,B-1ruHEDgFA_cup_0.99.jpg,cup,0.991455376,900,900,650,340,300,300
B-1ruHEDgFA,B-1ruHEDgFA_cup_0.99.jpg,cup,0.988339782,900,900,167,367,300,300
B-1ruHEDgFA,B-1ruHEDgFA_cup_0.98.jpg,cup,0.980118811,900,900,475,361,300,300
B-1ruHEDgFA,B-1ruHEDgFA_cup_0.98.jpg,cup,0.97565788,900,900,33,352,300,300
B-1SpeMJtrc,B-1SpeMJtrc_cup_0.93.jpg,cup,0.929708779,945,1080,127,328,300,300
B-1SpeMJtrc,B-1SpeMJtrc_vase_0.87.jpg,vase,0.871684372,945,1080,563,67,300,300
B-1TizWjFqU,B-1TizWjFqU_bowl_0.90.jpg,bowl,0.895685017,1080,1080,0,5,300,300
B-1UPt5ACr8,B-1UPt5ACr8_bowl_0.90.jpg,bowl,0.898337781,1080,1080,321,120,300,300
B-1vCbXDW6T,B-1vCbXDW6T_vase_0.89.jpg,vase,0.8937549,1080,1080,0,0,300,300
B-1wRZvD1ty,B-1wRZvD1ty_bowl_0.89.jpg,bowl,0.892340541,1350,1080,0,477,300,300
B-1x733jT72,B-1x733jT72_cup_0.99.jpg,cup,0.994419873,480,480,112,83,300,300
B-1xS5an8JU,B-1xS5an8JU_bowl_0.81.jpg,bowl,0.807950795,1080,1080,660,535,300,300
B-1YQr5nfgS,B-1YQr5nfgS_cup_0.95.jpg,cup,0.9506405,1223,1080,589,739,300,300
B-1_ZPaJZMq,B-1_ZPaJZMq_cup_0.92.jpg,cup,0.924232781,1350,1080,335,162,300,300
B-20fzrJ5Yf,B-20fzrJ5Yf_cup_0.95.jpg,cup,0.945052803,719,1080,91,188,300,300
B-20fzrJ5Yf,B-20fzrJ5Yf_cup_0.85.jpg,cup,0.854638815,719,1080,591,60,300,300
B-20fzrJ5Yf,B-20fzrJ5Yf_cup_0.83.jpg,cup,0.825528622,719,1080,362,146,300,300
B-20gQ0F3oL,B-20gQ0F3oL_cup_0.99.jpg,cup,0.986499071,1078,1080,453,835,300,300
B-20gQ0F3oL,B-20gQ0F3oL_cup_0.88.jpg,cup,0.882187486,1078,1080,254,591,300,300
B-20_LxnVCL,B-20_LxnVCL_cup_0.95.jpg,cup,0.95093745,810,1080,383,211,300,300
B-2177UjWQJ,B-2177UjWQJ_bowl_0.85.jpg,bowl,0.846301198,1080,1080,308,394,300,300
B-24iwFHaIt,B-24iwFHaIt_vase_0.97.jpg,vase,0.974075973,1080,1080,202,540,300,300
B-24iwFHaIt,B-24iwFHaIt_vase_0.93.jpg,vase,0.929590344,1080,1080,828,280,300,300
B-26vvrHUD1,B-26vvrHUD1_cup_0.99.jpg,cup,0.985264421,1052,1080,330,637,300,300
B-28zlzjt48,B-28zlzjt48_vase_0.83.jpg,vase,0.825189233,1350,1080,291,334,300,300
B-2AKxXBM9u,B-2AKxXBM9u_cup_0.98.jpg,cup,0.979508698,1080,1080,249,343,300,300
B-2ch6mnVuj,B-2ch6mnVuj_cup_0.97.jpg,cup,0.968052804,1080,1080,207,237,300,300
B-2ch6mnVuj,B-2ch6mnVuj_cup_0.94.jpg,cup,0.942917407,1080,1080,423,122,300,300
B-2ch6mnVuj,B-2ch6mnVuj_cup_0.92.jpg,cup,0.919053316,1080,1080,698,264,300,300
B-2ch6mnVuj,B-2ch6mnVuj_cup_0.86.jpg,cup,0.856402397,1080,1080,708,36,300,300
B-2ch6mnVuj,B-2ch6mnVuj_cup_0.82.jpg,cup,0.824041843,1080,1080,0,384,300,300
B-2D5jfHFfi,B-2D5jfHFfi_vase_1.00.jpg,vase,0.996483445,1080,1080,292,592,300,300
B-2d8t0nI-R,B-2d8t0nI-R_cup_0.98.jpg,cup,0.979281068,720,720,0,25,300,300
B-2d8t0nI-R,B-2d8t0nI-R_cup_0.94.jpg,cup,0.944086194,720,720,285,85,300,300
B-2d8t0nI-R,B-2d8t0nI-R_cup_0.90.jpg,cup,0.895972908,720,720,0,165,300,300
B-2DDwTnDoJ,B-2DDwTnDoJ_vase_0.99.jpg,vase,0.987204671,1080,1080,469,442,300,300
B-2dKhuj419,B-2dKhuj419_cup_0.99.jpg,cup,0.99180156,1080,1080,355,213,300,300
B-2dZgwDbVM,B-2dZgwDbVM_vase_0.92.jpg,vase,0.924815059,1343,1080,83,553,300,300
B-2dZgwDbVM,B-2dZgwDbVM_vase_0.86.jpg,vase,0.858736217,1343,1080,576,397,300,300
B-2eJnxqqxL,B-2eJnxqqxL_vase_0.95.jpg,vase,0.950425863,1080,1080,566,454,300,300
B-2eJnxqqxL,B-2eJnxqqxL_cup_0.94.jpg,cup,0.936966419,1080,1080,676,535,300,300
B-2eJnxqqxL,B-2eJnxqqxL_vase_0.89.jpg,vase,0.886415958,1080,1080,245,597,300,300
B-2eJnxqqxL,B-2eJnxqqxL_vase_0.82.jpg,vase,0.822077513,1080,1080,454,590,300,300
B-2FROtjaqD,B-2FROtjaqD_vase_0.94.jpg,vase,0.94080174,1080,1080,190,281,300,300
B-2g6zDjYa7,B-2g6zDjYa7_bowl_0.94.jpg,bowl,0.944833219,1080,1080,104,0,300,300
B-2H0YEjIHd,B-2H0YEjIHd_bowl_0.90.jpg,bowl,0.901476324,1080,1080,0,229,300,300
B-2h676Bac9,B-2h676Bac9_bowl_0.94.jpg,bowl,0.940070629,1080,1080,368,0,300,300
B-2h676Bac9,B-2h676Bac9_bowl_0.93.jpg,bowl,0.934678912,1080,1080,354,227,300,300
B-2h676Bac9,B-2h676Bac9_bowl_0.93.jpg,bowl,0.930556357,1080,1080,0,8,300,300
B-2HQP1jVKi,B-2HQP1jVKi_vase_0.93.jpg,vase,0.926444829,1350,1080,287,605,300,300
B-2hw-sDwsN,B-2hw-sDwsN_vase_0.96.jpg,vase,0.958680511,682,904,566,223,300,300
B-2I4l-jXhT,B-2I4l-jXhT_vase_0.92.jpg,vase,0.923344195,1080,1080,409,586,300,300
B-2i5nsnt2Z,B-2i5nsnt2Z_vase_0.81.jpg,vase,0.810572922,858,858,285,270,300,300
B-2IMP_DM_j,B-2IMP_DM_j_vase_0.89.jpg,vase,0.894172847,1080,1080,200,289,300,300
B-2IVxdjFCY,B-2IVxdjFCY_cup_0.88.jpg,cup,0.882338345,1111,1080,495,447,300,300
B-2K2LaJGEC,B-2K2LaJGEC_vase_0.95.jpg,vase,0.945604146,1080,1080,301,301,300,300
B-2KOpVjmtm,B-2KOpVjmtm_cup_0.82.jpg,cup,0.815479815,600,900,263,113,300,300
B-2LDAxAUBb,B-2LDAxAUBb_cup_0.90.jpg,cup,0.899375319,893,1080,417,406,300,300
B-2LepEDQ6F,B-2LepEDQ6F_cup_0.93.jpg,cup,0.929987431,1080,1080,37,213,300,300
B-2LepEDQ6F,B-2LepEDQ6F_vase_0.92.jpg,vase,0.920083046,1080,1080,388,245,300,300
B-2LQCTBjW5,B-2LQCTBjW5_vase_0.88.jpg,vase,0.875085652,608,1080,592,65,300,300
B-2LZ5XJCGh,B-2LZ5XJCGh_vase_0.90.jpg,vase,0.897842288,1350,1080,385,34,300,300
B-2m9tLJwg-,B-2m9tLJwg-_cup_0.91.jpg,cup,0.912072659,1080,1080,228,377,300,300
B-2NQKSDztD,B-2NQKSDztD_bowl_0.91.jpg,bowl,0.909590304,1350,1080,110,480,300,300
B-2opZzDnmV,B-2opZzDnmV_vase_0.88.jpg,vase,0.880434632,1350,1080,0,75,300,300
B-2PCjjDRzw,B-2PCjjDRzw_vase_0.99.jpg,vase,0.994534671,640,640,32,103,300,300
B-2piAvn4C3,B-2piAvn4C3_bowl_0.81.jpg,bowl,0.814457715,1350,1080,214,209,300,300
B-2pjc2B521,B-2pjc2B521_cup_0.98.jpg,cup,0.978806496,843,843,352,150,300,300
B-2PqbrBLzQ,B-2PqbrBLzQ_cup_0.90.jpg,cup,0.895377755,810,1080,437,85,300,300
B-2pqp2DRbY,B-2pqp2DRbY_vase_0.94.jpg,vase,0.939439237,1080,1080,469,291,300,300
B-2pqp2DRbY,B-2pqp2DRbY_vase_0.93.jpg,vase,0.934595525,1080,1080,686,411,300,300
B-2pqp2DRbY,B-2pqp2DRbY_vase_0.83.jpg,vase,0.828645706,1080,1080,158,349,300,300
B-2Q1oTjD7S,B-2Q1oTjD7S_vase_0.84.jpg,vase,0.841992021,1080,1080,331,195,300,300
B-2QUZdjAfF,B-2QUZdjAfF_cup_0.99.jpg,cup,0.994338095,1080,1080,301,496,300,300
B-2QUZdjAfF,B-2QUZdjAfF_cup_0.93.jpg,cup,0.925391912,1080,1080,533,155,300,300
